name,lat,lng,max_temp_f,humidity,cloudiness,windspeed,country,date
Pangnirtung,66.15,-65.71,34.63,84,100,6.06,CA,1601084642
Kathmandu,27.72,85.32,68.0,100,75,2.24,NP,1601084501
Taltal,-25.4,-70.48,56.26,74,36,3.24,CL,1601084642
Karratha,-20.74,116.85,77.68,36,98,14.83,AU,1601084643
Atar,20.52,-13.05,92.34,25,0,7.09,MR,1601084643
Barrow,71.29,-156.79,33.8,80,90,13.87,US,1601084643
Ushuaia,-54.8,-68.3,46.4,52,20,18.34,AR,1601084643
Bubaque,11.28,-15.83,80.24,80,100,4.03,GW,1601084644
Bengkulu,-3.8,102.27,81.3,74,49,0.76,ID,1601084644
Saint-Philippe,-21.36,55.77,66.2,63,40,6.93,RE,1601084644
Hermanus,-34.42,19.23,48.99,83,41,11.01,ZA,1601084644
Khatanga,71.97,102.5,41.23,81,96,13.96,RU,1601084645
Saskylakh,71.92,114.08,41.43,65,64,5.91,RU,1601084645
Karlshamn,56.17,14.86,55.99,100,99,3.36,SE,1601084645
Inyonga,-6.72,32.07,71.19,39,96,4.63,TZ,1601084645
Korla,41.76,86.15,64.99,74,0,24.76,CN,1601084645
Avera,33.19,-82.53,75.2,89,90,5.82,US,1601084646
Puerto Ayora,-0.74,-90.35,69.01,87,69,4.0,EC,1601084646
Norman Wells,65.28,-126.83,42.8,81,75,11.41,CA,1601084646
Dunedin,-45.87,170.5,55.99,70,75,18.99,NZ,1601084646
Kitimat,54.05,-128.65,51.01,94,95,1.99,CA,1601084482
Rikitea,-23.12,-134.97,73.62,82,76,14.36,PF,1601084647
Gimli,50.63,-96.99,63.0,97,0,8.55,CA,1601084647
Mossamedes,-15.2,12.15,62.19,87,97,5.93,AO,1601084647
Cape Town,-33.93,18.42,51.01,76,75,5.82,ZA,1601084515
Dikson,73.51,80.55,43.68,77,100,20.96,RU,1601084648
Te Anau,-45.42,167.72,48.24,87,95,7.65,NZ,1601084648
Punta Arenas,-53.15,-70.92,46.4,61,40,23.04,CL,1601084648
Mataura,-46.19,168.86,63.0,52,100,11.99,NZ,1601084648
Tiznit Province,29.58,-9.5,77.16,40,0,3.22,MA,1601084649
Samur,41.83,48.49,63.43,48,46,3.27,RU,1601084649
Davila,18.47,120.58,87.8,74,75,2.24,PH,1601084649
Hilo,19.73,-155.09,82.4,58,90,4.7,US,1601084649
Chokurdakh,70.63,147.92,47.08,54,6,9.64,RU,1601084650
Dingle,11.0,122.67,85.32,77,23,8.39,PH,1601084650
Hofn,64.25,-15.21,40.1,84,100,3.69,IS,1601084650
Cherskiy,68.75,161.3,38.86,84,100,10.58,RU,1601084651
Portland,45.52,-122.68,62.6,88,90,8.05,US,1601084155
Yangi Marg`ilon,40.43,71.72,51.8,57,0,3.78,UZ,1601084651
Ancud,-41.87,-73.82,48.0,87,0,4.81,CL,1601084651
Itarema,-2.92,-39.92,78.28,80,31,15.26,BR,1601084651
Vaini,-21.2,-175.2,77.0,83,75,8.05,TO,1601084652
Longyearbyen,78.22,15.64,30.2,68,75,1.12,SJ,1601084652
Mar del Plata,-38.0,-57.56,52.0,100,90,6.93,AR,1601084469
Bredasdorp,-34.53,20.04,46.4,87,9,11.41,ZA,1601084652
Jamestown,42.1,-79.24,64.4,68,1,4.7,US,1601084652
Ternate,0.8,127.4,83.97,68,99,1.7,ID,1601084653
Alice Springs,-23.7,133.88,68.0,24,0,12.75,AU,1601084653
Ilulissat,69.22,-51.1,35.6,74,100,10.29,GL,1601084653
Murighiol,45.03,29.17,66.2,93,26,11.41,RO,1601084653
Marsh Harbour,26.54,-77.06,82.06,76,100,10.16,BS,1601084402
Port Alfred,-33.59,26.89,58.19,72,98,23.85,ZA,1601084654
