name,lat,lng,max_temp_f,humidity,cloudiness,windspeed,country,date
Alofi,-19.06,-169.92,78.8,74,75,13.87,NU,1600984593
Araouane,18.9,-3.53,98.49,15,7,2.33,ML,1600984054
Emerald,-23.53,148.17,68.0,82,90,3.36,AU,1600984593
Margate,51.38,1.39,53.01,80,78,1.99,GB,1600984356
Saint Paul Harbor,57.79,-152.41,55.4,66,90,6.93,US,1600984594
Cajabamba,-7.62,-78.05,66.2,41,91,8.1,PE,1600984594
Marondera,-18.19,31.55,54.43,64,1,7.65,ZW,1600984594
Extrema,-22.85,-46.32,68.0,72,0,14.99,BR,1600984594
Birao,10.28,22.79,72.7,91,99,4.14,CF,1600984595
Hithadhoo,-0.6,73.08,82.02,65,92,5.7,MV,1600984595
Butaritari,3.07,172.79,81.9,74,95,16.78,KI,1600984595
Meulaboh,4.14,96.13,75.85,89,100,4.99,ID,1600984595
Tateyama,34.98,139.87,66.2,93,75,14.99,JP,1600984596
Araçuaí,-16.85,-42.07,76.46,61,46,6.26,BR,1600984596
Mataura,-46.19,168.86,46.99,96,72,10.0,NZ,1600984571
George Town,5.41,100.34,78.8,88,20,2.24,MY,1600984596
Innisfail,-17.53,146.03,73.71,76,0,2.91,AU,1600984597
Ngunguru,-35.62,174.5,61.0,89,100,1.99,NZ,1600984597
Mossamedes,-15.2,12.15,63.05,87,31,5.99,AO,1600984597
Maceió,-9.67,-35.74,75.2,83,75,6.93,BR,1600984298
Gazli,40.13,63.45,58.98,33,0,10.49,UZ,1600984598
Westport,41.14,-73.36,73.4,64,1,9.17,US,1600984598
Jacareacanga,-6.22,-57.75,86.05,54,87,1.28,BR,1600984598
Djambala,-2.54,14.75,69.98,88,100,3.22,CG,1600984598
Amahai,-3.33,128.92,77.74,85,74,2.93,ID,1600984599
Verkh-Chebula,56.03,87.62,41.56,88,96,5.7,RU,1600984599
Atuona,-9.8,-139.03,78.19,72,9,16.31,PF,1600984599
Cape Town,-33.93,18.42,60.01,82,75,14.99,ZA,1600984537
Jamestown,42.1,-79.24,73.0,60,40,9.17,US,1600984564
Rikitea,-23.12,-134.97,72.79,81,60,12.01,PF,1600984600
Cidreira,-30.18,-50.21,64.33,78,98,6.85,BR,1600984600
Barrow,71.29,-156.79,30.2,68,90,19.46,US,1600984502
Airai,-8.93,125.41,60.28,69,3,2.86,TL,1600984600
Busselton,-33.65,115.33,54.0,53,92,20.02,AU,1600984565
Ushuaia,-54.8,-68.3,50.0,46,40,21.92,AR,1600984277
Calvinia,-31.47,19.78,53.58,41,0,6.15,ZA,1600984601
Mount Isa,-20.73,139.5,59.0,62,0,9.64,AU,1600984601
Aklavik,68.22,-135.01,39.2,86,90,6.93,CA,1600984601
Kapaa,22.08,-159.32,86.0,66,75,17.22,US,1600984461
Saint Anthony,45.02,-93.22,75.99,56,90,5.82,US,1600984474
Turukhansk,65.82,87.98,35.92,96,37,2.75,RU,1600984602
Amsterdam,52.37,4.89,57.0,82,98,16.11,NL,1600984426
Ormara,25.21,64.64,82.99,63,92,8.84,PK,1600984602
Bilibino,68.05,166.44,28.22,89,100,1.99,RU,1600984603
Castro,-24.79,-50.01,62.56,50,27,3.13,BR,1600984470
Punta Arenas,-53.15,-70.92,50.0,61,78,47.2,CL,1600984603
Nikolskoye,59.7,30.79,55.0,76,87,4.47,RU,1600984481
Souillac,-20.52,57.52,66.2,77,20,2.24,MU,1600984516
Sørland,67.67,12.69,41.0,80,75,12.75,NO,1600984603
Ribeira Grande,38.52,-28.7,67.26,73,27,13.6,PT,1600984604
Avarua,-21.21,-159.78,78.8,83,87,6.93,CK,1600984505
Saint George,37.1,-113.58,96.01,13,1,3.36,US,1600984604
Dikson,73.51,80.55,41.45,85,69,23.44,RU,1600984604
Kawalu,-7.38,108.21,70.52,89,84,0.18,ID,1600984605
Port Elizabeth,-33.92,25.57,55.4,100,0,4.7,ZA,1600984564
Aquiraz,-3.9,-38.39,80.6,74,0,11.41,BR,1600984475
Muros,42.78,-9.06,57.0,87,65,1.99,ES,1600984515
Tecpan,14.76,-90.99,68.0,88,40,4.7,GT,1600984605
Vaini,-21.2,-175.2,77.0,73,20,8.05,TO,1600984606
Hilo,19.73,-155.09,82.4,65,90,6.93,US,1600984591
Albany,42.6,-73.97,73.0,58,100,2.21,US,1600984355
Cabo San Lucas,22.89,-109.91,93.2,59,5,8.05,MX,1600984606
Qui Nhon,13.77,109.23,78.24,85,100,7.02,VN,1600984606
Abu Kamal,34.45,40.92,74.75,33,0,3.78,SY,1600984607
Upernavik,72.79,-56.15,22.6,81,0,11.12,GL,1600984449
Yellowknife,62.46,-114.35,50.0,100,90,10.29,CA,1600984572
Yangi Marg`ilon,40.43,71.72,57.2,58,0,6.93,UZ,1600984607
Chokurdakh,70.63,147.92,37.15,88,31,7.87,RU,1600984607
Maoming,21.65,110.9,75.38,93,86,3.69,CN,1600984608
São Filipe,14.9,-24.5,80.38,79,46,6.98,CV,1600984561
Lewiston,44.1,-70.21,75.2,44,90,4.7,US,1600984541
Dannenberg,53.1,11.09,57.0,68,100,4.0,DE,1600984608
Saskylakh,71.92,114.08,41.22,76,0,10.69,RU,1600984571
Obodivka,48.41,29.25,61.11,64,100,7.29,UA,1600984609
Bredasdorp,-34.53,20.04,53.6,87,61,5.82,ZA,1600984482
